sample,Al,Ca,Cu,Fe,Mg,Se,Zn
QA/QC SY-4,106926,57448,5,42529,3095,<25,101
QA/QC Till-2,85539,9088,152,38423,11146,<25,128
QA/QC CCU-1d,1740,2966,221255,252989,5086,260,25551
QA/QC CZN-4,797,415,3939,84205,354,84,N/A
166,135,5118,25,343,29866,<5,855
167,159,6649,24,271,28479,<5,784
168,161,5941,29,262,29884,<5,950
169,96,6688,26,360,30691,<5,887
170,326,5612,14,261,30078,<5,991
171,466,5790,30,331,31735,<5,927
172,171,6278,39,247,32649,<5,905
173,149,6920,11,257,31331,<5,780
229,157,13482,10,251,32937,<5,800
230,91,14450,10,211,29356,<5,799
231,579,7840,8,294,26731,<5,735
232,301,6788,8,232,30833,<5,889
233,362,12857,7,305,27539,<5,623
234,227,5700,9,468,28822,<5,894
235,557,7409,47,639,31137,<5,760
236,630,6039,35,585,28324,<5,904
237,383,6413,13,289,28489,<5,748
238,422,13171,15,228,28478,<5,785
239,483,9002,35,879,32556,<5,773
240,238,5900,19,287,29996,<5,791
241,316,6634,14,367,29232,<5,870
242,61,6087,21,280,29857,<5,809
243,223,5609,23,216,30728,<5,901
244,623,5807,19,235,31104,<5,892
245,269,6664,27,349,31208,<5,882
246,346,5746,92,352,30975,<5,910
247,180,6030,31,295,30219,<5,835
248,201,11575,12,758,31048,<5,776
249,415,6068,8,322,30083,<5,922
250,898,6338,9,521,29261,<5,851
251,254,6339,13,480,28445,<5,848
252,288,6947,16,556,29052,<5,862
253,130,11163,31,321,31874,<5,940
254,75,7921,14,321,32024,<5,845
255,355,6033,10,252,31072,<5,892
256,183,5741,11,306,30412,<5,862
257,108,5725,8,254,29651,<5,833
258,311,6269,14,286,29928,<5,927
289,199,8084,19,356,37439,<5,764
290,135,8291,13,545,34648,<5,738
291,186,7900,289,631,34337,<5,668
292,135,8995,13,461,33269,<5,784
293,283,7203,270,603,32812,<5,864
294,173,8565,206,697,33296,<5,845
295,170,6743,46,232,33129,<5,828
296,35,7693,51,295,34737,<5,823
297,254,6520,32,237,32431,<5,728
298,327,8237,36,289,36678,<5,626
299,337,8682,29,309,34464,<5,807
300,301,16946,25,248,33099,<5,802
301,179,6552,166,551,31460,<5,850
302,187,6772,72,341,30681,<5,838
303,230,6330,12,230,31053,<5,899
304,217,7351,14,295,33413,<5,944
305,253,6147,25,487,31244,<5,998
306,221,7094,12,339,30003,<5,913
307,94,7676,10,332,30731,<5,810
308,205,6203,8,253,29650,<5,868
309,199,7682,10,218,33519,<5,850
310,227,6752,10,426,31055,<5,779
311,361,7278,15,349,31967,<5,868
312,365,7835,18,366,31731,<5,839
342,184,6729,24,378,29724,<5,911
343,235,7052,82,662,28709,<5,957
344,667,6333,18,777,31257,<5,824
345,353,8777,15,644,26972,<5,816
346,108,7074,34,268,31252,<5,878
347,482,10017,11,592,31043,<5,780
348,664,16682,29,540,32150,<5,831
349,311,9359,51,342,32967,<5,912
350,728,7677,17,653,30608,<5,844
351,382,7501,12,375,34213,<5,849
352,524,6529,13,392,31923,<5,918
353,923,10510,9,1125,30275,<5,681
354,452,6510,85,289,27687,<5,891
355,204,6046,16,212,29157,<5,937
356,311,7547,55,325,29547,<5,987
357,445,6456,46,659,26833,<5,910
358,177,6154,25,247,29279,<5,958
359,478,7318,54,421,28437,<5,809
360,70,6099,16,240,28725,<5,889
361,123,7359,14,367,29558,<5,884
362,156,7586,16,378,31161,<5,754
363,333,13699,23,316,30701,<5,799
364,322,8509,12,465,28724,<5,922
365,293,9190,19,381,30698,<5,938
396,267,23734,58,608,26977,<5,827
397,248,6225,34,395,29442,<5,904
398,151,8745,25,297,29303,<5,890
399,158,5620,37,278,29143,<5,842
400,148,5601,24,1036,29184,<5,854
401,100,28015,30,245,26428,<5,752
402,282,5498,83,419,27856,<5,921
403,177,5611,44,241,28937,<5,962
404,312,6383,40,244,30183,<5,828
405,327,5995,652,235,27595,<5,889
406,106,5328,26,305,27272,<5,955
407,386,6348,31,327,30603,<5,865
408,155,7747,28,226,28454,<5,939
409,116,9795,24,195,28802,<5,927
410,126,7126,12,290,26153,<5,821
411,292,5594,21,317,28909,<5,877
412,376,6192,14,348,29699,<5,1036
413,121,4977,21,282,27782,<5,940
414,117,6508,12,385,29913,<5,941
415,290,93628,13,807,20690,<5,623
416,177,14809,13,436,28855,<5,834
417,511,15177,13,378,28429,<5,921
418,177,9903,13,203,27971,<5,914
419,175,8917,13,224,28181,<5,873
J1,230,7086,21,265,27025,<5,765
J2,296,6087,17,237,28907,<5,924
J3,260,6903,21,355,27496,<5,866
J4,385,6295,179,422,28187,<5,941
J5,241,5868,24,336,26656,<5,755
J6,322,6259,23,510,29558,<5,814
J7,250,7297,19,522,29100,<5,707
J8,281,6051,54,487,27234,<5,831
J9,363,8766,49,557,28737,<5,719
J10,325,6882,30,411,28507,<5,792
J11,187,6720,20,276,28663,<5,773
J12,279,5701,36,383,27175,<5,746
J13,276,6045,49,558,27055,<5,888
J14,428,5496,15,460,26580,<5,864
J15,483,5938,17,515,26630,<5,815
J16,600,6047,48,983,26978,<5,756
J17,501,16044,24,524,26867,<5,915
J18,320,6064,19,858,26951,<5,766
J19,498,5893,17,426,26153,<5,830
J20,572,6843,13,674,26093,<5,722
J21,600,6734,22,1010,27426,<5,753
J22,906,5846,23,829,25506,<5,781
J23,481,5452,15,1343,23897,<5,736
J24,729,6125,13,1166,25662,<5,780
J25,762,9398,25,945,28760,<5,692
J26,833,7096,17,751,26966,<5,784
J27,1037,8533,13,467,28759,<5,855
J28,633,6057,42,670,29783,<5,781
J29,902,6247,28,456,28745,<5,835
J30,646,6318,21,320,27769,<5,637
528,212,6311,14,454,28335,<5,783
528 Dup.,313,6651,16,451,28697,<5,834
QA/QC SY-4-2,110187,57152,6,42150,2972,<25,98
QA/QC Till-2-2,84449,9217,152,38584,11089,<25,127
QA/QC CCU-1d-2,1625,1924,194653,198717,5157,247,23198
QA/QC CZN-4-2,725,387,3826,79798,355,84,N/A
QA/QC CPB-2-2,759,831,1241,70657,838,<25,61435
455,165,5474,41,575,27228,<5,945
456,252,13194,31,399,25832,<5,822
457,240,5670,25,289,28791,<5,1035
458,409,6528,54,372,31490,<5,823
459,303,5631,17,239,28449,<5,898
460,429,7023,18,465,25111,<5,897
461,307,6034,31,327,28580,<5,946
463,174,8484,18,431,29195,<5,969
464,385,6135,33,417,30035,<5,806
465,411,8486,21,268,28802,<5,874
466,134,4969,14,270,27293,<5,924
467,307,77420,32,302,23493,<5,604
468,177,5787,15,189,27997,<5,923
469,90,4623,16,153,27331,<5,960
470,535,5484,12,240,28733,<5,885
471,525,5494,13,281,28198,<5,905
472,776,6047,13,360,29149,<5,925
473,313,5721,13,205,29258,<5,930
522,242,6895,80,559,26170,<5,873
523,532,7653,25,895,24542,<5,723
524,635,6866,16,578,25266,<5,639
525,1115,5150,21,310,24592,<5,848
533,857,5758,12,296,26537,<5,726
504,47,27200,21,204,22827,<5,659
505,174,5523,31,312,24801,<5,777
506,243,11972,13,238,23973,<5,654
507,261,5639,22,569,25735,<5,817
508,145,5353,18,437,25431,<5,846
509,155,5871,35,473,25305,<5,747
515,442,4772,15,281,25290,<5,842
516,1231,5696,18,235,27674,<5,908
517,99,5493,17,300,28820,<5,880
518,1871,5397,13,307,28858,<5,873
519,1094,5446,11,235,28153,<5,840
520,735,4993,12,190,26180,<5,850
521,2172,4948,13,257,26312,<5,861
560,392,6694,72,359,26746,<5,850
561,102,4693,21,239,27275,<5,911
510,118,10165,17,270,23432,<5,759
511,73,5112,56,292,24015,<5,760
512,190,8767,42,306,24778,<5,728
513,811,5497,20,277,24128,<5,800
514,172,4385,17,247,23258,<5,750
450,318,6042,30,572,26931,<5,895
451,299,8465,19,500,26796,<5,901
452,423,15950,28,508,26881,<5,883
453,156,5797,17,321,28297,<5,946
454,371,8993,16,951,30818,<5,720
462,214,7329,23,666,27498,<5,847
526,381,5083,21,272,26450,<5,790
527,408,5429,19,357,26202,<5,899
529,286,5270,24,1358,26144,<5,784
530,507,7042,18,452,25034,<5,862
531,1131,5442,17,498,25786,<5,836
532,336,6052,11,733,26912,<5,806
553,59,4495,21,274,26589,<5,859
554,20,5332,28,309,27488,<5,815
555,18,5307,18,418,27284,<5,909
556,65,9374,27,557,29408,<5,994
557,98,4554,18,184,25533,<5,747
558,51,5161,15,317,28424,<5,886
559,638,8722,17,596,26120,<5,826
562,114,5446,23,245,29040,<5,814
563,42,5592,20,208,25655,<5,882
564,79,5776,20,251,28328,<5,917
571,75,4519,16,219,27827,<5,985
572,41,5715,14,226,28156,<5,935
573,67,5596,17,352,28515,<5,798
574,41,4919,15,221,27153,<5,953
575,73,6642,19,1135,25981,<5,897
576,185,5454,17,251,28742,<5,957
37,1197,7082,306,510,28045,<5,989
44,29037,6689,23,1178,25273,<5,785
45,29924,6152,13,794,26786,<5,869
46,57310,4541,17,1561,21019,<5,719
47,39655,5291,28,1133,25761,<5,804
48,32757,5366,32,1054,26466,<5,888
49 Glass Vial,505,6774,16,381,29286,<5,971
49 Baggie,165,5819,43,346,29697,<5,1019
50 Glass Vial,284,5297,13,220,27403,<5,900
50 Baggie,138,6443,33,357,30614,<5,859
51,348,7204,20,391,31460,<5,821
52,217,6377,26,301,29651,<5,927
53,310,6255,17,449,28682,<5,930
54,384,7932,19,435,29445,<5,1043
55,185,8220,16,594,28088,<5,800
56,137,10928,12,220,29496,<5,854
57,220,7334,41,264,32733,<5,787
58,180,7668,18,577,31011,<5,757
59,150,8636,13,355,29326,<5,911
60,138,5870,13,283,29590,<5,864
61,72,7474,17,324,29177,<5,850
62,274,7995,17,629,27791,<5,841
63,420,142692,13,589,19204,<5,542
64,626,5046,14,276,27247,<5,852
65,75,6137,29,276,30791,<5,901
66,530,5537,24,334,28218,<5,838
104,2606,7247,17,400,31982,<5,950
107,7317,6843,13,360,32021,<5,883
108,13255,5793,16,485,28849,<5,828
109,10241,6006,16,792,28383,<5,959
110,4875,6899,19,288,30866,<5,941
111,838,7363,21,217,32080,<5,925
112,1809,5738,13,238,27868,<5,893
113,5457,6066,14,316,28020,<5,946
114,7023,7198,11,410,30204,<5,792
115,4726,6557,13,322,29057,<5,896
116,1403,7278,11,319,31823,<5,931
117,6715,6775,17,408,28666,<5,881
118,248,13031,19,293,29947,<5,730
119,316,6423,17,369,29102,<5,893
120,504,6056,21,262,29951,<5,945
121,547,7933,14,306,28781,<5,880
122,401,7348,22,325,30119,<5,852
123,453,7573,19,285,31602,<5,973
124,411,6972,28,335,32624,<5,790
125,79,7605,21,253,32958,<5,887
126,315,6450,14,269,31265,<5,915
127,259,8018,18,742,31240,<5,862
128,193,8237,19,545,34441,<5,929
129,487,13823,31,375,30577,<5,790
150,78,5192,18,194,27776,<5,879
151,136,5509,16,185,28990,<5,905
152,297,5873,11,183,28287,<5,909
153,317,6055,14,192,30590,<5,921
154,641,5621,13,207,29424,<5,900
155,232,43388,15,178,25325,<5,761
156,148,6379,22,276,27932,<5,775
157,126,6364,19,235,29049,<5,836
158,82,5221,203,287,27741,<5,863
159,80,5253,29,418,25766,<5,871
160,266,7261,19,319,30771,<5,869
161,96,5358,20,227,28233,<5,884
162,90,6185,35,346,31264,<5,894
163,124,5397,58,394,28958,<5,871
164,36,6192,27,390,30582,<5,811
165,237,5723,18,339,30152,<5,836
