Name,Amount/100g,Unit,Technique,Method,Sample
Ash,1.495,g,Gravimetric,AOAC 900.02,2747891
"Calcium, Ca",6.44,mg,ICP,AOAC 985.01 + 984.27,2747891
"Copper, Cu",0.0247,mg,ICP,AOAC 985.01 + 984.27,2747891
"Iron, Fe",0.268,mg,ICP,AOAC 985.01 + 984.27,2747891
"Magnesium, Mg",27,mg,ICP,AOAC 985.01 + 984.27,2747891
"Manganese, Mn",<0.012,mg,ICP,AOAC 985.01 + 984.27,2747891
Nitrogen,2.14,g,Kjeldahl,AOAC 991.20,2747891
"Phosphorus, P",181,mg,ICP,AOAC 985.01 + 984.27,2747891
"Potassium, K",210,mg,ICP,AOAC 985.01 + 984.27,2747891
"Selenium, Se",13.4,µg,ICP-MS,AOAC 2011.19,2747891
"Sodium, Na",375,mg,ICP,AOAC 985.01 + 984.27,2747891
Total lipid (fat),0.48,g,Acid hydrolysis,AOAC 989.05 mod,2747891
Vitamin B-12,1.28,µg,Vitamin B12 by Microbiological Method,AOAC 952.20 and AOAC 960.46 mod.,2747891
Water,83.18,g,Vacuum oven,AOAC 934.06 mod,2747891
"Zinc, Zn",1.06,mg,ICP,AOAC 985.01 + 984.27,2747891
Ash,1.3,g,Gravimetric,AOAC 900.02,2747893
"Calcium, Ca",26,mg,ICP,AOAC 985.01 + 984.27,2747893
"Copper, Cu",<0.025,mg,ICP,AOAC 985.01 + 984.27,2747893
"Iron, Fe",<0.25,mg,ICP,AOAC 985.01 + 984.27,2747893
"Magnesium, Mg",32.9,mg,ICP,AOAC 985.01 + 984.27,2747893
"Manganese, Mn",<0.012,mg,ICP,AOAC 985.01 + 984.27,2747893
Nitrogen,2.56,g,Kjeldahl,AOAC 991.20,2747893
"Phosphorus, P",224,mg,ICP,AOAC 985.01 + 984.27,2747893
"Potassium, K",320,mg,ICP,AOAC 985.01 + 984.27,2747893
"Selenium, Se",16,µg,ICP-MS,AOAC 2011.19,2747893
"Sodium, Na",132,mg,ICP,AOAC 985.01 + 984.27,2747893
Total lipid (fat),0.65,g,Acid hydrolysis,AOAC 989.05 mod,2747893
Vitamin B-12,1.27,µg,Vitamin B12 by Microbiological Method,AOAC 952.20 and AOAC 960.46 mod.,2747893
Water,80,g,Vacuum oven,AOAC 934.06 mod,2747893
"Zinc, Zn",1.24,mg,ICP,AOAC 985.01 + 984.27,2747893
Ash,1.655,g,Gravimetric,AOAC 900.02,2747895
"Calcium, Ca",6.03,mg,ICP,AOAC 985.01 + 984.27,2747895
"Copper, Cu",<0.025,mg,ICP,AOAC 985.01 + 984.27,2747895
"Iron, Fe",0.284,mg,ICP,AOAC 985.01 + 984.27,2747895
"Magnesium, Mg",22.5,mg,ICP,AOAC 985.01 + 984.27,2747895
"Manganese, Mn",0.0152,mg,ICP,AOAC 985.01 + 984.27,2747895
Nitrogen,1.63,g,Kjeldahl,AOAC 991.20,2747895
"Phosphorus, P",110,mg,ICP,AOAC 985.01 + 984.27,2747895
"Potassium, K",155,mg,ICP,AOAC 985.01 + 984.27,2747895
"Selenium, Se",10.3,µg,ICP-MS,AOAC 2011.19,2747895
"Sodium, Na",522,mg,ICP,AOAC 985.01 + 984.27,2747895
Total lipid (fat),0.19,g,Acid hydrolysis,AOAC 989.05 mod,2747895
Vitamin B-12,1.39,µg,Vitamin B12 by Microbiological Method,AOAC 952.20 and AOAC 960.46 mod.,2747895
Water,86.23,g,Vacuum oven,AOAC 934.06 mod,2747895
"Zinc, Zn",0.906,mg,ICP,AOAC 985.01 + 984.27,2747895
Ash,1.49,g,Gravimetric,AOAC 900.02,2747897
"Calcium, Ca",13.05,mg,ICP,AOAC 985.01 + 984.27,2747897
"Copper, Cu",<0.025,mg,ICP,AOAC 985.01 + 984.27,2747897
"Iron, Fe",0.2675,mg,ICP,AOAC 985.01 + 984.27,2747897
"Magnesium, Mg",47.3,mg,ICP,AOAC 985.01 + 984.27,2747897
"Manganese, Mn",<0.012,mg,ICP,AOAC 985.01 + 984.27,2747897
Nitrogen,2.6,g,Kjeldahl,AOAC 991.20,2747897
"Phosphorus, P",230,mg,ICP,AOAC 985.01 + 984.27,2747897
"Potassium, K",311.5,mg,ICP,AOAC 985.01 + 984.27,2747897
"Selenium, Se",29.6,µg,ICP-MS,AOAC 2011.19,2747897
