"","samp","type","maxwt","minwt","time","diff","percH2O","Date.fished","Date.processed","Date.landed","Vessel","lon","lat","ID","sh","sex"
"1",37,"gonad",7.584,1.4311,9.125,6.1529,0.811300105485232,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,37,"120.84","f"
"2",38,"gonad",12.6814,2.6348,13.8125,10.0466,0.792231141672055,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,38,"116.27","f"
"3",39,"gonad",9.2178,1.7736,9.125,7.4442,0.807589663477186,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,39,"125.85","f"
"4",40,"gonad",6.8619,1.4563,9.125,5.4056,0.787770151124324,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,40,"120.35","f"
"5",41,"gonad",6.3915,1.158,9.125,5.2335,0.818821872799812,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,41,"128.47999999999999","f"
"6",42,"gonad",7.6482,1.5084,9.125,6.1398,0.802777124029183,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,42,"128.37","m"
"7",43,"gonad",10.5748,1.9768,13.8125,8.598,0.813065022506336,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,43,"125.88","m"
"8",44,"gonad",5.9981,0.8258,9.125,5.1723,0.862323068971841,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,44,"NA","f"
"9",45,"gonad",22.169,4.9534,16.7916666666667,17.2156,0.776561865668276,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,45,"NA","f"
"10",46,"gonad",7.3436,1.5047,9.125,5.8389,0.795100495669699,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,46,"NA","f"
"11",47,"gonad",8.0143,1.6552,9.125,6.3591,0.79346917385174,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,47,"135.05000000000001","f"
"12",48,"gonad",6.1977,1.4101,9.125,4.7876,0.772480113590525,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,48,"121.54","m"
"13",49,"gonad",7.748,1.593,9.125,6.155,0.794398554465669,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,49,"116.78","m"
"14",50,"gonad",7.0653,1.3572,6.3125,5.7081,0.807906246019277,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,50,"120.27","f"
"15",51,"gonad",16.8071,3.6699,9.89583333333333,13.1372,0.781645852050621,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,51,"133.26","f"
"16",52,"gonad",3.7031,0.5854,6.3125,3.1177,0.841916232345872,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,52,"108.25","f"
"17",53,"gonad",3.1605,0.4664,6.3125,2.6941,0.852428413225755,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,53,"108.71","f"
"18",54,"gonad",6.0016,1.1095,6.3125,4.8921,0.81513263129832,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,54,"121.87",NA
"19",55,"gonad",13.3322,2.9066,9.89583333333333,10.4256,0.781986468849852,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,55,"133.22999999999999",NA
"20",56,"gonad",10.6938,2.0881,9.89583333333333,8.6057,0.804737324430979,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,56,"137.94",NA
"21",57,"gonad",4.5032,0.8652,6.3125,3.638,0.807869959140167,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,57,"117.52",NA
"22",58,"gonad",9.0831,2.1412,9.89583333333333,6.9419,0.764265504067994,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,58,"110.48",NA
"23",59,"gonad",10.9852,2.2377,9.89583333333333,8.7475,0.796298656374031,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,59,"124.38",NA
"24",60,"gonad",4.442,0.8147,6.3125,3.6273,0.816591625393967,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,60,"118.46",NA
"25",61,"gonad",9.8414,2.1058,9.89583333333333,7.7356,0.786026378360802,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,61,"114.99",NA
"26",62,"gonad",3.8782,0.6607,6.3125,3.2175,0.829637460677634,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,62,"108.65",NA
"27",63,"gonad",15.2828,3.1768,9.89583333333333,12.106,0.792132331771665,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,63,"129.63",NA
"28",64,"gonad",6.5994,1.3619,9.91666666666667,5.2375,0.793632754492833,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,64,"113.36",NA
"29",65,"gonad",12.7689,2.7886,9.89583333333333,9.9803,0.781610005560385,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,65,"130.75",NA
"30",66,"gonad",6.9766,1.4368,9.89583333333333,5.5398,0.794054410457816,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,66,"113.34",NA
"31",67,"gonad",15.9652,3.4358,9.89583333333333,12.5294,0.78479442788064,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,67,"126.61",NA
"32",68,"gonad",8.2774,1.7537,9.91666666666667,6.5237,0.788133955106676,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,68,"116.67",NA
"33",69,"gonad",5.7515,1.2296,9.91666666666667,4.5219,0.786212292445449,2024-07-23,2024-07-24,2024-07-24,"Mersey Seven",-66.48983,41.94733,69,"103.03",NA
"34",100,"gonad",8.9752,1.7887,11.0902777777778,7.1865,0.800706390943934,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,100,"117.95","m"
"35",101,"gonad",3.2759,0.6026,11.0902777777778,2.6733,0.81605055099362,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,101,"110.55","f"
"36",102,"gonad",11.2414,2.2006,11.0902777777778,9.0408,0.804241464586262,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,102,"125.26","f"
"37",103,"gonad",18.7837,4.049,13.0069444444444,14.7347,0.78444076513147,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,103,"132.08000000000001","f"
"38",104,"gonad",4.0902,0.733,11.0902777777778,3.3572,0.820791159356511,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,104,"110.58","f"
"39",105,"gonad",12.7681,2.6918,11.0902777777778,10.0763,0.789177716339941,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,105,"136.62","f"
"40",106,"gonad",2.5675,0.2998,11.0902777777778,2.2677,0.883232716650438,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,106,"111.56","m"
"41",107,"gonad",22.0878,4.4793,13.0069444444444,17.6085,0.797204791785511,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,107,"139.29","f"
"42",108,"gonad",6.0725,1.3404,11.0902777777778,4.7321,0.779267188143269,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,108,"110.67","m"
"43",109,"gonad",7.4949,1.4273,9.0625,6.0676,0.809563836742318,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,109,"125.98","f"
"44",110,"gonad",6.4807,1.2779,9.0625,5.2028,0.802814510778157,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,110,"120.21","f"
"45",111,"gonad",7.0579,1.3198,9.0625,5.7381,0.813003868006064,2024-08-13,2024-08-14,2024-08-14,"Mersey Seven",-66.41917,42.005,111,"124.75","f"
