"","sample","name","value","std","mass","sample2","date","run","keep","Date.fished","wet.sample..g.","lipid_perc","dry","fame.mg","dry.sample.g","perc_fa","perc_fa_d"
"1","2025\06\26\SCAL_0037.DATA","12:0",0.01,18.33,0.000818330605564648,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.000000543813533735146,0.00000243873805517763
"2","2025\06\26\SCAL_0037.DATA","BHT",0,18.33,0,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0,0
"3","2025\06\26\SCAL_0037.DATA","13:0",0.02,18.33,0.0016366612111293,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000108762706747029,0.00000530965329991778
"4","2025\06\26\SCAL_0037.DATA","i:14:0",0.01,18.33,0.000818330605564648,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.000000543813533735146,0.00000248808887619449
"5","2025\06\26\SCAL_0037.DATA","14:0",1.03,18.33,0.0842880523731588,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000560127939747201,0.000258858557320277
"6","2025\06\26\SCAL_0037.DATA","14:1n-9",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"7","2025\06\26\SCAL_0037.DATA","14:1n-7",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"8","2025\06\26\SCAL_0037.DATA","14:1n-5",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"9","2025\06\26\SCAL_0037.DATA","i:15:0",0.06,18.33,0.00490998363338789,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000326288120241088,0.0000155058861820698
"10","2025\06\26\SCAL_0037.DATA","ai:15:0",0.01,18.33,0.000818330605564648,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.000000543813533735146,0.00000249479486379243
"11","2025\06\26\SCAL_0037.DATA","15:0",0.48,18.33,0.0392798690671031,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.000026103049619287,0.000121975869529035
"12","2025\06\26\SCAL_0037.DATA","i16:0",0.17,18.33,0.013911620294599,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000924483007349749,0.0000418075522639989
"13","2025\06\26\SCAL_0037.DATA","16:0",16.29,18.33,1.33306055646481,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.000885872246454553,0.00411099056992764
"14","2025\06\26\SCAL_0037.DATA","16:1n-11",0.25,18.33,0.0204582651391162,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000135953383433787,0.0000629152518723141
"15","2025\06\26\SCAL_0037.DATA","16:1n-9",0.09,18.33,0.00736497545008183,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000489432180361632,0.0000234457647775815
"16","2025\06\26\SCAL_0037.DATA","16:1n-7",0.72,18.33,0.0589198036006547,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000391545744289305,0.000179232576302863
"17","2025\06\26\SCAL_0037.DATA","16:1n-5",0.22,18.33,0.0180032733224223,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000119638977421732,0.0000549298538947633
"18","2025\06\26\SCAL_0037.DATA","17:1:a",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"19","2025\06\26\SCAL_0037.DATA","i:17:0",0.45,18.33,0.0368248772504092,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000244716090180816,0.00011771957865846
"20","2025\06\26\SCAL_0037.DATA","16:2n-6",0.04,18.33,0.00327332242225859,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000217525413494059,0.00000978742521244971
"21","2025\06\26\SCAL_0037.DATA","ai:17:0",0.12,18.33,0.00981996726677578,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000652576240482176,0.0000315894749772014
"22","2025\06\26\SCAL_0037.DATA","17:1:b:",0.05,18.33,0.00409165302782324,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000271906766867573,0.0000131499322261562
"23","2025\06\26\SCAL_0037.DATA","16:2n-4",0.03,18.33,0.00245499181669394,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000163144060120544,0.00000726589641083193
"24","2025\06\26\SCAL_0037.DATA","17:0",0.51,18.33,0.0417348608837971,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000277344902204925,0.000124197948752596
"25","2025\06\26\SCAL_0037.DATA","Phytane",0.56,18.33,0.0458265139116203,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000304535578891682,0.000142232800457287
"26","2025\06\26\SCAL_0037.DATA","16:3n-4",0,18.33,0,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0,0
"27","2025\06\26\SCAL_0037.DATA","17:1",0.06,18.33,0.00490998363338789,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000326288120241088,0.0000155399348333213
"28","2025\06\26\SCAL_0037.DATA","16:4n-3",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"29","2025\06\26\SCAL_0037.DATA","16:4n-1",0.04,18.33,0.00327332242225859,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000217525413494059,0.00000980154261868046
"30","2025\06\26\SCAL_0037.DATA","18:0",5.25,18.33,0.42962356792144,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.000285502105210952,0.00125414736441349
"31","2025\06\26\SCAL_0037.DATA","18:1n-13",0.09,18.33,0.00736497545008183,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000489432180361632,0.0000233132987048904
"32","2025\06\26\SCAL_0037.DATA","18:1n-11",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"33","2025\06\26\SCAL_0037.DATA","18:1n-9",0.7,18.33,0.0572831423895254,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000380669473614602,0.000176141488295942
"34","2025\06\26\SCAL_0037.DATA","18:1n-7",3.1,18.33,0.253682487725041,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.000168582195457895,0.000804149007902511
"35","2025\06\26\SCAL_0037.DATA","18:1n-5",0.15,18.33,0.0122749590834697,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000815720300602719,0.0000382139183257398
"36","2025\06\26\SCAL_0037.DATA","18:2d5:11",0.03,18.33,0.00245499181669394,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000163144060120544,0.0000077360350040732
"37","2025\06\26\SCAL_0037.DATA","18:2n-7",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
"38","2025\06\26\SCAL_0037.DATA","18:2n-6",0.19,18.33,0.0155482815057283,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000103324571409678,0.0000472361202804741
"39","2025\06\26\SCAL_0037.DATA","18:2n-4",0.18,18.33,0.0147299509001637,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000978864360723264,0.0000476542307440826
"40","2025\06\26\SCAL_0037.DATA","18:3n-6",0.08,18.33,0.00654664484451719,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000435050826988117,0.0000211102937179327
"41","2025\06\26\SCAL_0037.DATA","18:3n-4",0.02,18.33,0.0016366612111293,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000108762706747029,0.00000517293897345772
"42","2025\06\26\SCAL_0037.DATA","18:3n-3",0.15,18.33,0.0122749590834697,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000815720300602719,0.0000398206517187641
"43","2025\06\26\SCAL_0037.DATA","18:3n-1",0.05,18.33,0.00409165302782324,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000271906766867573,0.0000126257896464241
"44","2025\06\26\SCAL_0037.DATA","18:4n-3",0.95,18.33,0.0777414075286416,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000516622857048389,0.000243580837895524
"45","2025\06\26\SCAL_0037.DATA","18:4n-1",1.81,18.33,0.148117839607201,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000984302496060615,0.000459901110597351
"46","2025\06\26\SCAL_0037.DATA","20:0",0.05,18.33,0.00409165302782324,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.00000271906766867573,0.0000128133585410804
"47","2025\06\26\SCAL_0037.DATA","20:1n-11",0.6,18.33,0.0490998363338789,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000326288120241088,0.000152481889262272
"48","2025\06\26\SCAL_0037.DATA","20:1n-9",0.51,18.33,0.0417348608837971,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000277344902204925,0.000131656708994722
"49","2025\06\26\SCAL_0037.DATA","20:1n-7",0.33,18.33,0.0270049099836334,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,0.0000179458466132598,0.0000847027145402148
"50","2025\06\26\SCAL_0037.DATA","20:2NMID1",NA,18.33,NA,37,2025-06-26,"1","Y","2024-07-23",1.5048,1.34901648059547,0.222989727240524,12.6999999999988,0.335554941551541,NA,NA
